+++
RED:UKNet.rut
********************************************************
********************************************************
Probablidad de Bloqueo por usuario con 12 Long. de Onda:
Probablidad de Bloqueo total de la Red: 0.001364
********************************************************
Origen	Destino	Prob.Bloqueo	Saltos
10	17	0.000000	1.000000
10	18	0.014627	6.000000
10	19	0.000000	6.000000
10	20	0.000000	6.000000
10	21	0.015124	4.000000
10	22	0.009215	5.000000
10	23	0.013139	5.000000
10	24	0.000000	6.000000
10	25	0.014766	3.000000
10	26	0.005842	4.000000
10	27	0.000000	2.000000
10	28	0.000000	2.000000
10	29	0.000000	4.000000
10	30	0.000000	3.000000
10	31	0.000000	4.000000
10	32	0.013029	5.000000
10	33	0.012635	5.000000
10	34	0.000000	3.000000
10	35	0.000000	2.000000
10	36	0.000000	2.000000
10	37	0.000000	1.000000
10	38	0.000000	3.000000
10	39	0.000000	3.000000
10	40	0.000000	3.000000
10	41	0.000000	2.000000
10	42	0.003695	5.000000
11	0	0.000000	5.000000
11	1	0.000000	2.000000
11	2	0.003229	5.000000
11	3	0.000000	1.000000
11	4	0.000000	3.000000
11	5	0.003916	5.000000
11	6	0.000000	2.000000
11	7	0.003160	5.000000
11	8	0.000000	1.000000
11	9	0.000000	5.000000
11	10	0.000000	1.000000
11	11	NO TIENE
11	12	0.000000	3.000000
11	13	0.000000	7.000000
11	14	0.000000	5.000000
11	15	0.000000	4.000000
11	16	0.000000	4.000000
11	17	0.000000	1.000000
11	18	0.012442	7.000000
11	19	0.000000	6.000000
11	20	0.000000	5.000000
11	21	0.003182	4.000000
11	22	0.005774	6.000000
11	23	0.005359	6.000000
11	24	0.000000	6.000000
11	25	0.004018	4.000000
11	26	0.004717	3.000000
11	27	0.000000	2.000000
11	28	0.000000	2.000000
